task_id,base_runtime
T1,78
T2,56
T3,120
T4,112
T5,107
T6,85
T7,76
T8,189
T9,72
T10,158
T11,58
T12,57
T13,73
T14,105
T15,109
T16,179
T17,56
T18,193
T19,100
T20,189
T21,157
T22,106
T23,164
T24,200
T25,121
T26,51
T27,90
T28,158
T29,137
T30,121
T31,89
T32,105
T33,136
T34,76
T35,73
T36,147
T37,74
T38,141
T39,138
T40,117
T41,61
T42,167
T43,187
T44,81
T45,146
T46,70
T47,191
T48,125
T49,142
T50,197
T51,99
T52,67
T53,61
T54,108
T55,124
T56,70
T57,109
T58,75
T59,147
T60,121
T61,166
T62,143
T63,91
T64,144
T65,140
T66,103
T67,118
T68,68
T69,93
T70,186
T71,112
T72,91
T73,168
T74,147
T75,119
T76,192
T77,106
T78,133
T79,64
T80,108
T81,58
T82,130
T83,152
T84,118
T85,66
T86,104
T87,195
T88,130
T89,104
T90,177
T91,151
T92,167
T93,86
T94,117
T95,85
T96,113
T97,193
T98,187
T99,117
T100,199
T101,159
T102,199
T103,152
T104,142
T105,106
T106,85
T107,180
T108,176
T109,73
T110,62
T111,78
T112,89
T113,90
T114,158
T115,66
T116,148
T117,147
T118,169
T119,185
T120,114
T121,191
T122,52
T123,79
T124,187
T125,118
T126,137
T127,78
T128,125
T129,161
T130,90
T131,166
T132,50
T133,117
T134,178
T135,95
T136,179
T137,77
T138,126
T139,179
T140,100
T141,89
T142,145
T143,91
T144,188
T145,185
T146,50
T147,132
T148,175
T149,54
T150,78
T151,142
T152,128
T153,111
T154,64
T155,111
T156,195
T157,70
T158,71
T159,174
T160,67
T161,186
T162,82
T163,82
T164,171
T165,190
T166,92
T167,117
T168,185
T169,158
T170,104
T171,188
T172,101
T173,129
T174,152
T175,145
T176,162
T177,182
T178,165
T179,80
T180,113
T181,107
T182,66
T183,136
T184,55
T185,200
T186,191
T187,108
T188,200
T189,106
T190,51
T191,68
T192,65
T193,108
T194,67
T195,58
T196,134
T197,68
T198,181
T199,110
T200,121
T201,174
T202,104
T203,188
T204,83
T205,196
T206,197
T207,171
T208,112
T209,171
T210,154
T211,98
T212,74
T213,74
T214,160
T215,140
T216,158
T217,155
T218,169
T219,63
T220,75
T221,65
T222,153
T223,136
T224,77
T225,113
T226,99
T227,98
T228,187
T229,164
T230,85
T231,158
T232,96
T233,121
T234,168
T235,113
T236,69
T237,163
T238,190
T239,75
T240,62
T241,188
T242,53
T243,73
T244,110
T245,92
T246,154
T247,174
T248,173
T249,104
T250,152
T251,65
T252,92
T253,147
T254,50
T255,149
T256,117
T257,166
T258,123
T259,158
T260,192
T261,174
T262,89
T263,98
T264,125
T265,105
T266,64
T267,198
T268,188
T269,65
T270,130
T271,64
T272,62
T273,199
T274,172
T275,178
T276,185
T277,90
T278,64
T279,180
T280,70
T281,97
T282,67
T283,67
T284,110
T285,153
T286,80
T287,195
T288,113
T289,198
T290,60
T291,70
T292,157
T293,199
T294,194
T295,183
T296,130
T297,116
T298,102
T299,130
T300,111
T301,117
T302,151
T303,83
T304,126
T305,167
T306,130
T307,68
T308,52
T309,167
T310,194
T311,75
T312,68
T313,187
T314,104
T315,179
T316,117
T317,83
T318,139
T319,67
T320,112
T321,144
T322,122
T323,90
T324,162
T325,189
T326,127
T327,185
T328,52
T329,191
T330,126
T331,76
T332,84
T333,117
T334,79
T335,77
T336,191
T337,89
T338,119
T339,122
T340,103
T341,137
T342,102
T343,117
T344,179
T345,175
T346,114
T347,63
T348,73
T349,158
T350,120
T351,61
T352,50
T353,135
T354,83
T355,117
T356,91
T357,163
T358,191
T359,159
T360,193
T361,52
T362,78
T363,69
T364,88
T365,189
T366,59
T367,144
T368,199
T369,191
T370,87
T371,160
T372,82
T373,60
T374,128
T375,143
T376,60
T377,141
T378,103
T379,113
T380,76
T381,140
T382,193
T383,154
T384,89
T385,110
T386,91
T387,95
T388,155
T389,56
T390,95
T391,135
T392,155
T393,113
T394,118
T395,90
T396,77
T397,147
T398,59
T399,170
T400,106
T401,101
T402,167
T403,139
T404,128
T405,108
T406,107
T407,56
T408,99
T409,152
T410,134
T411,121
T412,67
T413,121
T414,139
T415,180
T416,152
T417,187
T418,134
T419,57
T420,79
T421,116
T422,95
T423,198
T424,117
T425,59
T426,77
T427,161
T428,138
T429,130
T430,161
T431,180
T432,79
T433,148
T434,197
T435,98
T436,115
T437,61
T438,161
T439,50
T440,183
T441,187
T442,100
T443,143
T444,160
T445,67
T446,134
T447,130
T448,81
T449,126
T450,179
T451,129
T452,154
T453,133
T454,153
T455,125
T456,191
T457,82
T458,99
T459,157
T460,147
T461,94
T462,195
T463,127
T464,153
T465,190
T466,50
T467,127
T468,123
T469,103
T470,160
T471,198
T472,132
T473,169
T474,163
T475,163
T476,104
T477,180
T478,171
T479,93
T480,71
T481,122
T482,181
T483,135
T484,73
T485,110
T486,129
T487,107
T488,100
T489,87
T490,56
T491,61
T492,112
T493,171
T494,68
T495,166
T496,156
T497,197
T498,99
T499,148
T500,176
